date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:27	11747/11747	---M-Z	200	added ('OK')	application/javascript	etag:%222de3-58101dfe13108-gzip%22	https://printmyphotosgrahamstown.photofrog.co.za/js/colorbox/jquery.colorbox-min.js	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/js/colorbox/jquery.colorbox-min.js	(from https://printmyphotosgrahamstown.photofrog.co.za/favourite/index/callback/)
09:12:27	4435/4435	---M-Z	200	added ('OK')	text/css	etag:%221153-58101cf938bb2-gzip%22	https://printmyphotosgrahamstown.photofrog.co.za/js/colorbox/colorbox.css	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/js/colorbox/colorbox.css	(from https://printmyphotosgrahamstown.photofrog.co.za/favourite/index/callback/)
09:12:28	34967/34967	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:30%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/event/index	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/event/index.html	(from https://printmyphotosgrahamstown.photofrog.co.za/favourite/index/callback/)
09:12:28	11361/11361	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:30%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/index/callback/ZXZlbnQvZm9sbG93L2NvbnRhaW5lci95d244MTdtdw==	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/index/callback/ZXZlbnQvZm9sbG93L2NvbnRhaW5lci95d244MTdtdw==.html	(from https://printmyphotosgrahamstown.photofrog.co.za/event/follow/container/ywn817mw)
09:12:28	1731/1731	---M-Z	200	added ('OK')	application/javascript	etag:%226c3-587d4c4a13fed-gzip%22	https://printmyphotosgrahamstown.photofrog.co.za/js/photofrog/favourite.js	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/js/photofrog/favourite.js	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:29	1294/1294	---M-Z	200	added ('OK')	application/javascript	etag:%2250e-5eb60eaaeb355-gzip%22	https://printmyphotosgrahamstown.photofrog.co.za/js/photofrog/asset.js	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/js/photofrog/asset.js	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:30	11489/11489	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:32%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/index/callback/YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/index/callback/YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:30	91984/91984	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:32%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1?page=2	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/14658.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:30	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:33%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM2x1Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index5f87.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:30	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:33%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM2x3Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/indexbe59.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
